------------------------------------------------------------------------------------
Date: 2/9/2026 -- 21:10:37 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
capture.kernel_packets                        | Total                     | 179
decoder.pkts                                  | Total                     | 179
decoder.bytes                                 | Total                     | 23979
decoder.ipv4                                  | Total                     | 23
decoder.ipv6                                  | Total                     | 49
decoder.ethernet                              | Total                     | 179
decoder.tcp                                   | Total                     | 6
decoder.udp                                   | Total                     | 49
decoder.icmpv6                                | Total                     | 17
decoder.avg_pkt_size                          | Total                     | 133
decoder.max_pkt_size                          | Total                     | 239
flow.tcp                                      | Total                     | 6
flow.udp                                      | Total                     | 15
flow.icmpv6                                   | Total                     | 7
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 9
flow.wrk.flows_evicted                        | Total                     | 6
detect.alert                                  | Total                     | 12
app_layer.flow.failed_udp                     | Total                     | 15
flow.mgr.full_hash_pass                       | Total                     | 12
flow.spare                                    | Total                     | 9922
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 34
flow.mgr.flows_notimeout                      | Total                     | 12
flow.mgr.flows_timeout                        | Total                     | 22
flow.mgr.flows_evicted                        | Total                     | 22
tcp.memuse                                    | Total                     | 606208
tcp.reassembly_memuse                         | Total                     | 98304
flow.memuse                                   | Total                     | 7474304
capture.kernel_packets                        | W#01-eth0                 | 179
decoder.pkts                                  | W#01-eth0                 | 179
decoder.bytes                                 | W#01-eth0                 | 23979
decoder.ipv4                                  | W#01-eth0                 | 23
decoder.ipv6                                  | W#01-eth0                 | 49
decoder.ethernet                              | W#01-eth0                 | 179
decoder.tcp                                   | W#01-eth0                 | 6
decoder.udp                                   | W#01-eth0                 | 49
decoder.icmpv6                                | W#01-eth0                 | 17
decoder.avg_pkt_size                          | W#01-eth0                 | 133
decoder.max_pkt_size                          | W#01-eth0                 | 239
flow.tcp                                      | W#01-eth0                 | 6
flow.udp                                      | W#01-eth0                 | 15
flow.icmpv6                                   | W#01-eth0                 | 7
flow.wrk.spare_sync_avg                       | W#01-eth0                 | 100
flow.wrk.spare_sync                           | W#01-eth0                 | 1
decoder.event.ipv6.zero_len_padn              | W#01-eth0                 | 9
flow.wrk.flows_evicted                        | W#01-eth0                 | 6
detect.alert                                  | W#01-eth0                 | 12
app_layer.flow.failed_udp                     | W#01-eth0                 | 15
flow.mgr.full_hash_pass                       | FM#01                     | 12
flow.spare                                    | FM#01                     | 9922
flow.mgr.rows_maxlen                          | FM#01                     | 1
flow.mgr.flows_checked                        | FM#01                     | 34
flow.mgr.flows_notimeout                      | FM#01                     | 12
flow.mgr.flows_timeout                        | FM#01                     | 22
flow.mgr.flows_evicted                        | FM#01                     | 22
tcp.memuse                                    | Global                    | 606208
tcp.reassembly_memuse                         | Global                    | 98304
flow.memuse                                   | Global                    | 7474304
------------------------------------------------------------------------------------
Date: 2/9/2026 -- 21:25:49 (uptime: 0d, 00h 15m 20s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 180
decoder.pkts                                  | Total                     | 180
decoder.bytes                                 | Total                     | 24049
decoder.ipv4                                  | Total                     | 23
decoder.ipv6                                  | Total                     | 50
decoder.ethernet                              | Total                     | 180
decoder.tcp                                   | Total                     | 6
decoder.udp                                   | Total                     | 49
decoder.icmpv6                                | Total                     | 18
decoder.avg_pkt_size                          | Total                     | 133
decoder.max_pkt_size                          | Total                     | 239
flow.tcp                                      | Total                     | 6
flow.udp                                      | Total                     | 15
flow.icmpv6                                   | Total                     | 8
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 9
flow.wrk.flows_evicted                        | Total                     | 6
detect.alert                                  | Total                     | 12
app_layer.flow.failed_udp                     | Total                     | 15
flow.mgr.full_hash_pass                       | Total                     | 12
flow.spare                                    | Total                     | 9922
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 34
flow.mgr.flows_notimeout                      | Total                     | 12
flow.mgr.flows_timeout                        | Total                     | 22
flow.mgr.flows_evicted                        | Total                     | 22
tcp.memuse                                    | Total                     | 606208
tcp.reassembly_memuse                         | Total                     | 98304
flow.memuse                                   | Total                     | 7474304
capture.kernel_packets                        | W#01-eth0                 | 180
decoder.pkts                                  | W#01-eth0                 | 180
decoder.bytes                                 | W#01-eth0                 | 24049
decoder.ipv4                                  | W#01-eth0                 | 23
decoder.ipv6                                  | W#01-eth0                 | 50
decoder.ethernet                              | W#01-eth0                 | 180
decoder.tcp                                   | W#01-eth0                 | 6
decoder.udp                                   | W#01-eth0                 | 49
decoder.icmpv6                                | W#01-eth0                 | 18
decoder.avg_pkt_size                          | W#01-eth0                 | 133
decoder.max_pkt_size                          | W#01-eth0                 | 239
flow.tcp                                      | W#01-eth0                 | 6
flow.udp                                      | W#01-eth0                 | 15
flow.icmpv6                                   | W#01-eth0                 | 8
flow.wrk.spare_sync_avg                       | W#01-eth0                 | 100
flow.wrk.spare_sync                           | W#01-eth0                 | 1
decoder.event.ipv6.zero_len_padn              | W#01-eth0                 | 9
flow.wrk.flows_evicted                        | W#01-eth0                 | 6
detect.alert                                  | W#01-eth0                 | 12
app_layer.flow.failed_udp                     | W#01-eth0                 | 15
flow.mgr.full_hash_pass                       | FM#01                     | 12
flow.spare                                    | FM#01                     | 9922
flow.mgr.rows_maxlen                          | FM#01                     | 1
flow.mgr.flows_checked                        | FM#01                     | 34
flow.mgr.flows_notimeout                      | FM#01                     | 12
flow.mgr.flows_timeout                        | FM#01                     | 22
flow.mgr.flows_evicted                        | FM#01                     | 22
tcp.memuse                                    | Global                    | 606208
tcp.reassembly_memuse                         | Global                    | 98304
flow.memuse                                   | Global                    | 7474304
------------------------------------------------------------------------------------
Date: 2/9/2026 -- 21:25:57 (uptime: 0d, 00h 15m 28s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 180
decoder.pkts                                  | Total                     | 180
decoder.bytes                                 | Total                     | 24049
decoder.ipv4                                  | Total                     | 23
decoder.ipv6                                  | Total                     | 50
decoder.ethernet                              | Total                     | 180
decoder.tcp                                   | Total                     | 6
decoder.udp                                   | Total                     | 49
decoder.icmpv6                                | Total                     | 18
decoder.avg_pkt_size                          | Total                     | 133
decoder.max_pkt_size                          | Total                     | 239
flow.tcp                                      | Total                     | 6
flow.udp                                      | Total                     | 15
flow.icmpv6                                   | Total                     | 8
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 9
flow.wrk.flows_evicted                        | Total                     | 6
detect.alert                                  | Total                     | 12
app_layer.flow.failed_udp                     | Total                     | 15
flow.mgr.full_hash_pass                       | Total                     | 12
flow.spare                                    | Total                     | 9922
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 34
flow.mgr.flows_notimeout                      | Total                     | 12
flow.mgr.flows_timeout                        | Total                     | 22
flow.mgr.flows_evicted                        | Total                     | 22
tcp.memuse                                    | Total                     | 606208
tcp.reassembly_memuse                         | Total                     | 98304
flow.memuse                                   | Total                     | 7474304
capture.kernel_packets                        | W#01-eth0                 | 180
decoder.pkts                                  | W#01-eth0                 | 180
decoder.bytes                                 | W#01-eth0                 | 24049
decoder.ipv4                                  | W#01-eth0                 | 23
decoder.ipv6                                  | W#01-eth0                 | 50
decoder.ethernet                              | W#01-eth0                 | 180
decoder.tcp                                   | W#01-eth0                 | 6
decoder.udp                                   | W#01-eth0                 | 49
decoder.icmpv6                                | W#01-eth0                 | 18
decoder.avg_pkt_size                          | W#01-eth0                 | 133
decoder.max_pkt_size                          | W#01-eth0                 | 239
flow.tcp                                      | W#01-eth0                 | 6
flow.udp                                      | W#01-eth0                 | 15
flow.icmpv6                                   | W#01-eth0                 | 8
flow.wrk.spare_sync_avg                       | W#01-eth0                 | 100
flow.wrk.spare_sync                           | W#01-eth0                 | 1
decoder.event.ipv6.zero_len_padn              | W#01-eth0                 | 9
flow.wrk.flows_evicted                        | W#01-eth0                 | 6
detect.alert                                  | W#01-eth0                 | 12
app_layer.flow.failed_udp                     | W#01-eth0                 | 15
flow.mgr.full_hash_pass                       | FM#01                     | 12
flow.spare                                    | FM#01                     | 9922
flow.mgr.rows_maxlen                          | FM#01                     | 1
flow.mgr.flows_checked                        | FM#01                     | 34
flow.mgr.flows_notimeout                      | FM#01                     | 12
flow.mgr.flows_timeout                        | FM#01                     | 22
flow.mgr.flows_evicted                        | FM#01                     | 22
tcp.memuse                                    | Global                    | 606208
tcp.reassembly_memuse                         | Global                    | 98304
flow.memuse                                   | Global                    | 7474304
------------------------------------------------------------------------------------
Date: 2/9/2026 -- 21:26:05 (uptime: 0d, 00h 15m 36s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 180
decoder.pkts                                  | Total                     | 180
decoder.bytes                                 | Total                     | 24049
decoder.ipv4                                  | Total                     | 23
decoder.ipv6                                  | Total                     | 50
decoder.ethernet                              | Total                     | 180
decoder.tcp                                   | Total                     | 6
decoder.udp                                   | Total                     | 49
decoder.icmpv6                                | Total                     | 18
decoder.avg_pkt_size                          | Total                     | 133
decoder.max_pkt_size                          | Total                     | 239
flow.tcp                                      | Total                     | 6
flow.udp                                      | Total                     | 15
flow.icmpv6                                   | Total                     | 8
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 9
flow.wrk.flows_evicted                        | Total                     | 6
detect.alert                                  | Total                     | 12
app_layer.flow.failed_udp                     | Total                     | 15
flow.mgr.full_hash_pass                       | Total                     | 12
flow.spare                                    | Total                     | 9922
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 34
flow.mgr.flows_notimeout                      | Total                     | 12
flow.mgr.flows_timeout                        | Total                     | 22
flow.mgr.flows_evicted                        | Total                     | 22
tcp.memuse                                    | Total                     | 606208
tcp.reassembly_memuse                         | Total                     | 98304
flow.memuse                                   | Total                     | 7474304
capture.kernel_packets                        | W#01-eth0                 | 180
decoder.pkts                                  | W#01-eth0                 | 180
decoder.bytes                                 | W#01-eth0                 | 24049
decoder.ipv4                                  | W#01-eth0                 | 23
decoder.ipv6                                  | W#01-eth0                 | 50
decoder.ethernet                              | W#01-eth0                 | 180
decoder.tcp                                   | W#01-eth0                 | 6
decoder.udp                                   | W#01-eth0                 | 49
decoder.icmpv6                                | W#01-eth0                 | 18
decoder.avg_pkt_size                          | W#01-eth0                 | 133
decoder.max_pkt_size                          | W#01-eth0                 | 239
flow.tcp                                      | W#01-eth0                 | 6
flow.udp                                      | W#01-eth0                 | 15
flow.icmpv6                                   | W#01-eth0                 | 8
flow.wrk.spare_sync_avg                       | W#01-eth0                 | 100
flow.wrk.spare_sync                           | W#01-eth0                 | 1
decoder.event.ipv6.zero_len_padn              | W#01-eth0                 | 9
flow.wrk.flows_evicted                        | W#01-eth0                 | 6
detect.alert                                  | W#01-eth0                 | 12
app_layer.flow.failed_udp                     | W#01-eth0                 | 15
flow.mgr.full_hash_pass                       | FM#01                     | 12
flow.spare                                    | FM#01                     | 9922
flow.mgr.rows_maxlen                          | FM#01                     | 1
flow.mgr.flows_checked                        | FM#01                     | 34
flow.mgr.flows_notimeout                      | FM#01                     | 12
flow.mgr.flows_timeout                        | FM#01                     | 22
flow.mgr.flows_evicted                        | FM#01                     | 22
tcp.memuse                                    | Global                    | 606208
tcp.reassembly_memuse                         | Global                    | 98304
flow.memuse                                   | Global                    | 7474304
------------------------------------------------------------------------------------
Date: 2/9/2026 -- 21:26:13 (uptime: 0d, 00h 15m 44s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 180
decoder.pkts                                  | Total                     | 180
decoder.bytes                                 | Total                     | 24049
decoder.ipv4                                  | Total                     | 23
decoder.ipv6                                  | Total                     | 50
decoder.ethernet                              | Total                     | 180
decoder.tcp                                   | Total                     | 6
decoder.udp                                   | Total                     | 49
decoder.icmpv6                                | Total                     | 18
decoder.avg_pkt_size                          | Total                     | 133
decoder.max_pkt_size                          | Total                     | 239
flow.tcp                                      | Total                     | 6
flow.udp                                      | Total                     | 15
flow.icmpv6                                   | Total                     | 8
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 9
flow.wrk.flows_evicted                        | Total                     | 6
detect.alert                                  | Total                     | 12
app_layer.flow.failed_udp                     | Total                     | 15
flow.mgr.full_hash_pass                       | Total                     | 12
flow.spare                                    | Total                     | 9922
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 34
flow.mgr.flows_notimeout                      | Total                     | 12
flow.mgr.flows_timeout                        | Total                     | 22
flow.mgr.flows_evicted                        | Total                     | 22
tcp.memuse                                    | Total                     | 606208
tcp.reassembly_memuse                         | Total                     | 98304
flow.memuse                                   | Total                     | 7474304
capture.kernel_packets                        | W#01-eth0                 | 180
decoder.pkts                                  | W#01-eth0                 | 180
decoder.bytes                                 | W#01-eth0                 | 24049
decoder.ipv4                                  | W#01-eth0                 | 23
decoder.ipv6                                  | W#01-eth0                 | 50
decoder.ethernet                              | W#01-eth0                 | 180
decoder.tcp                                   | W#01-eth0                 | 6
decoder.udp                                   | W#01-eth0                 | 49
decoder.icmpv6                                | W#01-eth0                 | 18
decoder.avg_pkt_size                          | W#01-eth0                 | 133
decoder.max_pkt_size                          | W#01-eth0                 | 239
flow.tcp                                      | W#01-eth0                 | 6
flow.udp                                      | W#01-eth0                 | 15
flow.icmpv6                                   | W#01-eth0                 | 8
flow.wrk.spare_sync_avg                       | W#01-eth0                 | 100
flow.wrk.spare_sync                           | W#01-eth0                 | 1
decoder.event.ipv6.zero_len_padn              | W#01-eth0                 | 9
flow.wrk.flows_evicted                        | W#01-eth0                 | 6
detect.alert                                  | W#01-eth0                 | 12
app_layer.flow.failed_udp                     | W#01-eth0                 | 15
flow.mgr.full_hash_pass                       | FM#01                     | 12
flow.spare                                    | FM#01                     | 9922
flow.mgr.rows_maxlen                          | FM#01                     | 1
flow.mgr.flows_checked                        | FM#01                     | 34
flow.mgr.flows_notimeout                      | FM#01                     | 12
flow.mgr.flows_timeout                        | FM#01                     | 22
flow.mgr.flows_evicted                        | FM#01                     | 22
tcp.memuse                                    | Global                    | 606208
tcp.reassembly_memuse                         | Global                    | 98304
flow.memuse                                   | Global                    | 7474304
------------------------------------------------------------------------------------
Date: 2/9/2026 -- 21:26:21 (uptime: 0d, 00h 15m 52s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 180
decoder.pkts                                  | Total                     | 180
decoder.bytes                                 | Total                     | 24049
decoder.ipv4                                  | Total                     | 23
decoder.ipv6                                  | Total                     | 50
decoder.ethernet                              | Total                     | 180
decoder.tcp                                   | Total                     | 6
decoder.udp                                   | Total                     | 49
decoder.icmpv6                                | Total                     | 18
decoder.avg_pkt_size                          | Total                     | 133
decoder.max_pkt_size                          | Total                     | 239
flow.tcp                                      | Total                     | 6
flow.udp                                      | Total                     | 15
flow.icmpv6                                   | Total                     | 8
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 9
flow.wrk.flows_evicted                        | Total                     | 6
detect.alert                                  | Total                     | 12
app_layer.flow.failed_udp                     | Total                     | 15
flow.mgr.full_hash_pass                       | Total                     | 12
flow.spare                                    | Total                     | 9922
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 34
flow.mgr.flows_notimeout                      | Total                     | 12
flow.mgr.flows_timeout                        | Total                     | 22
flow.mgr.flows_evicted                        | Total                     | 22
tcp.memuse                                    | Total                     | 606208
tcp.reassembly_memuse                         | Total                     | 98304
flow.memuse                                   | Total                     | 7474304
capture.kernel_packets                        | W#01-eth0                 | 180
decoder.pkts                                  | W#01-eth0                 | 180
decoder.bytes                                 | W#01-eth0                 | 24049
decoder.ipv4                                  | W#01-eth0                 | 23
decoder.ipv6                                  | W#01-eth0                 | 50
decoder.ethernet                              | W#01-eth0                 | 180
decoder.tcp                                   | W#01-eth0                 | 6
decoder.udp                                   | W#01-eth0                 | 49
decoder.icmpv6                                | W#01-eth0                 | 18
decoder.avg_pkt_size                          | W#01-eth0                 | 133
decoder.max_pkt_size                          | W#01-eth0                 | 239
flow.tcp                                      | W#01-eth0                 | 6
flow.udp                                      | W#01-eth0                 | 15
flow.icmpv6                                   | W#01-eth0                 | 8
flow.wrk.spare_sync_avg                       | W#01-eth0                 | 100
flow.wrk.spare_sync                           | W#01-eth0                 | 1
decoder.event.ipv6.zero_len_padn              | W#01-eth0                 | 9
flow.wrk.flows_evicted                        | W#01-eth0                 | 6
detect.alert                                  | W#01-eth0                 | 12
app_layer.flow.failed_udp                     | W#01-eth0                 | 15
flow.mgr.full_hash_pass                       | FM#01                     | 12
flow.spare                                    | FM#01                     | 9922
flow.mgr.rows_maxlen                          | FM#01                     | 1
flow.mgr.flows_checked                        | FM#01                     | 34
flow.mgr.flows_notimeout                      | FM#01                     | 12
flow.mgr.flows_timeout                        | FM#01                     | 22
flow.mgr.flows_evicted                        | FM#01                     | 22
tcp.memuse                                    | Global                    | 606208
tcp.reassembly_memuse                         | Global                    | 98304
flow.memuse                                   | Global                    | 7474304
------------------------------------------------------------------------------------
Date: 2/9/2026 -- 21:26:29 (uptime: 0d, 00h 16m 00s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 180
decoder.pkts                                  | Total                     | 180
decoder.bytes                                 | Total                     | 24049
decoder.ipv4                                  | Total                     | 23
decoder.ipv6                                  | Total                     | 50
decoder.ethernet                              | Total                     | 180
decoder.tcp                                   | Total                     | 6
decoder.udp                                   | Total                     | 49
decoder.icmpv6                                | Total                     | 18
decoder.avg_pkt_size                          | Total                     | 133
decoder.max_pkt_size                          | Total                     | 239
flow.tcp                                      | Total                     | 6
flow.udp                                      | Total                     | 15
flow.icmpv6                                   | Total                     | 8
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 9
flow.wrk.flows_evicted                        | Total                     | 6
detect.alert                                  | Total                     | 12
app_layer.flow.failed_udp                     | Total                     | 15
flow.mgr.full_hash_pass                       | Total                     | 13
flow.spare                                    | Total                     | 9922
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 34
flow.mgr.flows_notimeout                      | Total                     | 12
flow.mgr.flows_timeout                        | Total                     | 22
flow.mgr.flows_evicted                        | Total                     | 22
tcp.memuse                                    | Total                     | 606208
tcp.reassembly_memuse                         | Total                     | 98304
flow.memuse                                   | Total                     | 7474304
capture.kernel_packets                        | W#01-eth0                 | 180
decoder.pkts                                  | W#01-eth0                 | 180
decoder.bytes                                 | W#01-eth0                 | 24049
decoder.ipv4                                  | W#01-eth0                 | 23
decoder.ipv6                                  | W#01-eth0                 | 50
decoder.ethernet                              | W#01-eth0                 | 180
decoder.tcp                                   | W#01-eth0                 | 6
decoder.udp                                   | W#01-eth0                 | 49
decoder.icmpv6                                | W#01-eth0                 | 18
decoder.avg_pkt_size                          | W#01-eth0                 | 133
decoder.max_pkt_size                          | W#01-eth0                 | 239
flow.tcp                                      | W#01-eth0                 | 6
flow.udp                                      | W#01-eth0                 | 15
flow.icmpv6                                   | W#01-eth0                 | 8
flow.wrk.spare_sync_avg                       | W#01-eth0                 | 100
flow.wrk.spare_sync                           | W#01-eth0                 | 1
decoder.event.ipv6.zero_len_padn              | W#01-eth0                 | 9
flow.wrk.flows_evicted                        | W#01-eth0                 | 6
detect.alert                                  | W#01-eth0                 | 12
app_layer.flow.failed_udp                     | W#01-eth0                 | 15
flow.mgr.full_hash_pass                       | FM#01                     | 13
flow.spare                                    | FM#01                     | 9922
flow.mgr.rows_maxlen                          | FM#01                     | 1
flow.mgr.flows_checked                        | FM#01                     | 34
flow.mgr.flows_notimeout                      | FM#01                     | 12
flow.mgr.flows_timeout                        | FM#01                     | 22
flow.mgr.flows_evicted                        | FM#01                     | 22
tcp.memuse                                    | Global                    | 606208
tcp.reassembly_memuse                         | Global                    | 98304
flow.memuse                                   | Global                    | 7474304
------------------------------------------------------------------------------------
Date: 2/9/2026 -- 21:26:37 (uptime: 0d, 00h 16m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 180
decoder.pkts                                  | Total                     | 180
decoder.bytes                                 | Total                     | 24049
decoder.ipv4                                  | Total                     | 23
decoder.ipv6                                  | Total                     | 50
decoder.ethernet                              | Total                     | 180
decoder.tcp                                   | Total                     | 6
decoder.udp                                   | Total                     | 49
decoder.icmpv6                                | Total                     | 18
decoder.avg_pkt_size                          | Total                     | 133
decoder.max_pkt_size                          | Total                     | 239
flow.tcp                                      | Total                     | 6
flow.udp                                      | Total                     | 15
flow.icmpv6                                   | Total                     | 8
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 9
flow.wrk.flows_evicted                        | Total                     | 6
detect.alert                                  | Total                     | 12
app_layer.flow.failed_udp                     | Total                     | 15
flow.mgr.full_hash_pass                       | Total                     | 13
flow.spare                                    | Total                     | 9923
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 35
flow.mgr.flows_notimeout                      | Total                     | 12
flow.mgr.flows_timeout                        | Total                     | 23
flow.mgr.flows_evicted                        | Total                     | 23
tcp.memuse                                    | Total                     | 606208
tcp.reassembly_memuse                         | Total                     | 98304
flow.memuse                                   | Total                     | 7474304
capture.kernel_packets                        | W#01-eth0                 | 180
decoder.pkts                                  | W#01-eth0                 | 180
decoder.bytes                                 | W#01-eth0                 | 24049
decoder.ipv4                                  | W#01-eth0                 | 23
decoder.ipv6                                  | W#01-eth0                 | 50
decoder.ethernet                              | W#01-eth0                 | 180
decoder.tcp                                   | W#01-eth0                 | 6
decoder.udp                                   | W#01-eth0                 | 49
decoder.icmpv6                                | W#01-eth0                 | 18
decoder.avg_pkt_size                          | W#01-eth0                 | 133
decoder.max_pkt_size                          | W#01-eth0                 | 239
flow.tcp                                      | W#01-eth0                 | 6
flow.udp                                      | W#01-eth0                 | 15
flow.icmpv6                                   | W#01-eth0                 | 8
flow.wrk.spare_sync_avg                       | W#01-eth0                 | 100
flow.wrk.spare_sync                           | W#01-eth0                 | 1
decoder.event.ipv6.zero_len_padn              | W#01-eth0                 | 9
flow.wrk.flows_evicted                        | W#01-eth0                 | 6
detect.alert                                  | W#01-eth0                 | 12
app_layer.flow.failed_udp                     | W#01-eth0                 | 15
flow.mgr.full_hash_pass                       | FM#01                     | 13
flow.spare                                    | FM#01                     | 9923
flow.mgr.rows_maxlen                          | FM#01                     | 1
flow.mgr.flows_checked                        | FM#01                     | 35
flow.mgr.flows_notimeout                      | FM#01                     | 12
flow.mgr.flows_timeout                        | FM#01                     | 23
flow.mgr.flows_evicted                        | FM#01                     | 23
tcp.memuse                                    | Global                    | 606208
tcp.reassembly_memuse                         | Global                    | 98304
flow.memuse                                   | Global                    | 7474304
------------------------------------------------------------------------------------
Date: 2/9/2026 -- 21:26:45 (uptime: 0d, 00h 16m 16s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 180
decoder.pkts                                  | Total                     | 180
decoder.bytes                                 | Total                     | 24049
decoder.ipv4                                  | Total                     | 23
decoder.ipv6                                  | Total                     | 50
decoder.ethernet                              | Total                     | 180
decoder.tcp                                   | Total                     | 6
decoder.udp                                   | Total                     | 49
decoder.icmpv6                                | Total                     | 18
decoder.avg_pkt_size                          | Total                     | 133
decoder.max_pkt_size                          | Total                     | 239
flow.tcp                                      | Total                     | 6
flow.udp                                      | Total                     | 15
flow.icmpv6                                   | Total                     | 8
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 9
flow.wrk.flows_evicted                        | Total                     | 6
detect.alert                                  | Total                     | 12
app_layer.flow.failed_udp                     | Total                     | 15
flow.mgr.full_hash_pass                       | Total                     | 13
flow.spare                                    | Total                     | 9923
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 35
flow.mgr.flows_notimeout                      | Total                     | 12
flow.mgr.flows_timeout                        | Total                     | 23
flow.mgr.flows_evicted                        | Total                     | 23
tcp.memuse                                    | Total                     | 606208
tcp.reassembly_memuse                         | Total                     | 98304
flow.memuse                                   | Total                     | 7474304
capture.kernel_packets                        | W#01-eth0                 | 180
decoder.pkts                                  | W#01-eth0                 | 180
decoder.bytes                                 | W#01-eth0                 | 24049
decoder.ipv4                                  | W#01-eth0                 | 23
decoder.ipv6                                  | W#01-eth0                 | 50
decoder.ethernet                              | W#01-eth0                 | 180
decoder.tcp                                   | W#01-eth0                 | 6
decoder.udp                                   | W#01-eth0                 | 49
decoder.icmpv6                                | W#01-eth0                 | 18
decoder.avg_pkt_size                          | W#01-eth0                 | 133
decoder.max_pkt_size                          | W#01-eth0                 | 239
flow.tcp                                      | W#01-eth0                 | 6
flow.udp                                      | W#01-eth0                 | 15
flow.icmpv6                                   | W#01-eth0                 | 8
flow.wrk.spare_sync_avg                       | W#01-eth0                 | 100
flow.wrk.spare_sync                           | W#01-eth0                 | 1
decoder.event.ipv6.zero_len_padn              | W#01-eth0                 | 9
